generation,avg_fitness,highest_fitness,lowest_fitness
147,11.419999999999998,20.6,6.4
148,15.59,20.6,6.4
149,14.819999999999999,20.6,6.4
150,14.11,20.6,6.4
151,15.549999999999997,20.6,6.4
152,14.090000000000003,20.6,6.4
153,16.990000000000002,20.6,6.4
154,12.799999999999999,20.6,6.4
155,14.91,20.6,6.4
156,14.24,20.6,6.4
157,16.340000000000003,20.6,6.4
158,14.930000000000001,20.6,6.4
159,14.24,20.6,6.4
160,18.48,21.8,6.4
161,17.820000000000004,21.8,6.4
162,16.360000000000003,21.8,6.4
163,12.91,21.8,6.4
164,18.46,21.8,6.4
165,17.1,21.8,6.4
166,18.560000000000006,21.8,6.6
167,14.940000000000001,21.8,6.4
168,15.730000000000004,21.8,6.4
169,16.400000000000002,21.8,6.4
170,19.130000000000003,21.8,6.4
171,14.91,21.8,6.4
172,14.91,21.8,6.4
173,12.12,21.8,6.4
174,15.77,21.8,6.4
175,16.339999999999996,21.8,6.4
176,16.340000000000003,21.8,6.4
177,14.25,21.8,6.4
178,13.809999999999999,21.8,6.4
179,15.64,21.8,6.4
180,13.55,21.8,6.4
181,13.579999999999998,21.8,6.4
182,17.740000000000002,21.8,6.4
183,14.829999999999998,21.8,6.4
184,13.580000000000002,21.8,6.4
185,14.940000000000001,21.8,6.4
186,14.11,21.8,6.4
187,15.530000000000001,21.8,6.4
188,13.569999999999999,21.8,6.4
189,14.939999999999998,21.8,6.6
190,15.75,21.8,6.4
191,14.209999999999999,21.8,6.4
192,18.400000000000002,21.8,6.4
193,13.540000000000003,21.8,6.4
194,15.710000000000003,21.8,6.4
195,15.709999999999999,21.8,6.4
196,17.12,21.8,6.4
197,15.66,21.8,6.4
198,16.380000000000003,21.8,6.4
199,14.919999999999998,21.8,6.4
200,14.879999999999999,21.8,6.4
201,14.88,21.8,6.6
202,14.2,21.8,6.4
203,13.599999999999998,21.8,6.4
204,13.61,21.8,6.4
205,12.899999999999997,21.8,6.4
206,16.34,21.8,6.4
207,14.860000000000003,21.8,6.4
208,14.170000000000002,21.8,6.4
209,12.86,21.8,6.4
210,14.970000000000002,21.8,6.4
211,13.539999999999997,21.8,6.4
212,13.549999999999997,21.8,6.4
213,14.919999999999998,21.8,6.4
214,13.559999999999997,21.8,6.4
215,14.219999999999999,21.8,6.4
216,12.85,21.8,6.4
217,16.300000000000004,21.8,6.4
218,12.899999999999997,21.8,6.4
219,17.110000000000003,21.8,6.4
220,13.569999999999997,21.8,6.4
221,17.04,21.8,6.4
222,15.65,21.8,6.4
223,15.61,21.8,6.4
224,15.59,21.8,6.4
225,16.360000000000003,21.8,6.4
226,13.529999999999998,21.8,6.4
227,13.539999999999997,21.8,6.4
228,14.98,21.8,6.4
229,16.39,21.8,6.4
230,16.400000000000002,21.8,6.4
231,13.5,21.8,6.4
232,14.229999999999999,21.8,6.4
233,15.520000000000001,21.8,6.4
234,12.99,21.8,6.4
235,14.940000000000001,21.8,6.4
236,16.410000000000004,21.8,6.4
237,17.65,21.8,6.4
238,14.920000000000002,21.8,6.4
239,13.489999999999998,21.8,6.4
240,13.49,21.8,6.4
241,14.870000000000001,21.8,6.4
242,14.909999999999997,21.8,6.4
243,14.13,21.8,6.4
244,16.28,21.8,6.4
245,14.840000000000003,21.8,6.4
246,14.169999999999998,21.8,6.4
247,15.55,21.8,6.4
248,14.190000000000001,21.8,6.4
249,16.31,21.8,6.4
250,14.25,21.8,6.4
